,en,t,r,chi,fit_a,fit_c,fit_hw,fit_gw,fit_lw,fit_pv,fit_skew
17,25000,500,-400.0,40,0.5793524263421292,0.0001265168762237,0.0002357283398041,1.2876298981087614e-05,2.3325822226832912e-05,0.9690437237142931,3.1082524647765464
18,30000,500,700.0,-35,0.7314098479136056,8.134355116741855e-05,0.0001470749597771,1.0368767514572849e-05,2.063502934854552e-05,0.9682772478726692,-93.15092500020006
19,25000,500,-6000.0,35,0.5653135859014484,9.981590557229376e-06,8.027219007589775e-06,9.894655979052945e-06,1.1277390605050709e-05,0.8163668805630064,15.553055195406168
20,35000,600,-700.0,-30,0.7216033920016334,-8.581668120340176e-05,0.0001591770688623,8.95631776597275e-06,1.8793179344946854e-05,0.9711399299474744,-43.19780324885746
21,29000,500,1500.0,-40,0.7659736128025812,4.241301300387978e-05,6.911906443867357e-05,1.0394595212778918e-05,1.807061173247804e-05,0.9567462001521776,-262.37363092703407
22,29000,500,4000.0,-40,0.714390630897331,1.6129816116935205e-05,1.8350068627581183e-05,9.499055316679944e-06,1.3833553229591202e-05,0.9163503789801152,-16.6241259620115
23,29000,400,-700.0,-35,0.7548260594403577,-6.433565160513e-05,0.0001141410363997,1.0645655046595544e-05,1.946709290129489e-05,0.9640600737677646,-70.76951061726207
24,35000,500,500.0,30,0.639857363287096,-0.0001026810505312,0.0001920484143415,8.915220623758732e-06,1.641384905224382e-05,0.9670013240216097,-25.066108732823043
25,29000,400,-400.0,35,0.627173651214784,0.0001104545177909,0.0002058774791659,1.0880580090338206e-05,1.2604686498385246e-05,0.9366349078395284,3.171418424722145
26,30000,600,5000.0,40,0.7078214420825086,-1.732092952617684e-05,2.0915481396878817e-05,9.305022708113276e-06,1.414696735764822e-05,0.9251934896373318,16.57645036051863
27,25000,600,-2000.0,-30,0.6285245241576539,-2.932486513824341e-05,4.343843997231006e-05,1.152379790980024e-05,1.8088883117240574e-05,0.937325410182274,-492.0125011399268
28,25000,400,-700.0,35,0.7209060552919513,7.123975443779754e-05,0.0001261072430695,1.2270361739980988e-05,2.247154739495834e-05,0.96237123200019,178.02525010152004
29,29000,500,400.0,40,0.5865711666839779,-0.0001062531286291,0.0001961223758029,1.0680113037148934e-05,1.859810892241088e-05,0.9632799018400252,-10.082937290629838
30,29000,600,500.0,-35,0.6396236203954293,0.0001036330196472,0.0001912181498566,1.064740297316564e-05,1.87865056311429e-05,0.9634854259867752,-0.9082184698352016
31,35000,600,-6000.0,-40,0.7812213172870682,-1.2413097075581953e-05,1.4504045531508545e-05,7.858822611932871e-06,1.0844500828061606e-05,0.9119550190805688,-17.07894359196206
32,31000,600,-5000.0,35,0.7334272455412925,1.4572935465597363e-05,1.7479774190157003e-05,8.905212882326495e-06,1.277955887412616e-05,0.9162815403514326,16.748230170764053
33,29000,600,500.0,30,0.6660632423234522,-0.0001036756710832,0.0001913829628716,1.0641434625066816e-05,1.8432420372902604e-05,0.9624611130640705,-13.145181766780444
34,30000,500,6000.0,-35,0.6959409482900363,9.775673373925556e-06,7.657247670400442e-06,8.418731010894795e-06,9.798770159716224e-06,0.8422441107893228,-16.49632895351949
35,35000,500,400.0,-40,0.5211934781989659,0.0001285281083531,0.0002436129267775,8.89072177819891e-06,1.581405556087125e-05,0.9652492569594222,39.56495549835468
36,35000,500,1000.0,-40,0.7778504445934268,6.38200815965723e-05,0.0001142288209836,8.884425205519481e-06,1.6618475983024353e-05,0.966695730198587,-80.2394728950418
37,31000,600,-4000.0,-35,0.744059713909966,-1.6735811508895372e-05,2.143560797392977e-05,9.073693593301765e-06,1.4066732866143794e-05,0.929881021002971,-16.815922717475512
38,31000,600,-1500.0,-35,0.784785489055624,-4.511206981444607e-05,7.684287667367392e-05,9.806381190323776e-06,1.732248515162181e-05,0.9595645375425677,-71.71111814984668
39,25000,400,700.0,35,0.7209237291802236,-7.238158694048494e-05,0.0001260775537582,1.2269528502903336e-05,2.245753260081173e-05,0.962386923012274,178.0780767150853
40,30000,400,3000.0,30,0.7845280755282035,-1.4671740778818226e-05,1.6079119550092664e-05,9.145137902693774e-06,1.296522984862626e-05,0.9132481406874918,17.106191717984984
41,31000,500,500.0,-40,0.6328433734137429,0.0001123915161839,0.0002096150690593,9.96898869944019e-06,1.5928124369352064e-05,0.9583068759191672,1.0552927163211343
42,31000,600,2000.0,-40,0.7729799632889544,3.824177572089886e-05,6.197323481232696e-05,9.704290536195936e-06,1.6868168184876147e-05,0.9564247225294588,-71.35772969447729
43,25000,500,400.0,-30,0.6313859656113303,0.0001039765444487,0.0001896841287323,1.2185340014172128e-05,2.0362275109955625e-05,0.9581315378021754,2.2840775008028085
44,35000,600,400.0,40,0.5108403463421088,-0.000127623990833,0.0002417213071357,8.906154574331468e-06,1.6225297225132088e-05,0.9666203805075204,-39.99217932822555
45,35000,600,6000.0,35,0.7881740600272129,-1.2616219985972153e-05,1.3847089248971752e-05,7.829199974535579e-06,1.0698237991311864e-05,0.9095293891047824,17.164364210146253
46,30000,400,-5000.0,-35,0.7257214324439457,-8.736988133969753e-06,7.012354348661064e-06,8.348540007406054e-06,9.571345719331456e-06,0.8353529253530428,-16.706226386725216
47,30000,600,-300.0,30,0.52138191810558,0.0001344034210011,0.0002541231421346,1.0533318091236887e-05,1.4858383275306884e-05,0.9541022587651374,3.0212071057346237
48,30000,600,2000.0,-30,0.7669104999390496,3.0222291246055637e-05,4.59688006040364e-05,9.864353787895915e-06,1.6794272051918606e-05,0.9511282904039086,-35.0351276961651
49,30000,500,-1000.0,-35,0.7782908730809779,-5.6361526671622267e-05,9.874663190894864e-05,1.0231560992158173e-05,1.832428910314691e-05,0.9621491990716742,-71.44319570314683
50,31000,400,500.0,40,0.6537191149761733,-0.0001033535852556,0.0001913849425031,1.0028858544429564e-05,1.8139979420388613e-05,0.9655604933651828,-1.3738551849783815
51,31000,400,1500.0,40,0.8259351276886306,-3.7916250952823566e-05,6.107797332510745e-05,9.755848782488171e-06,1.7431153642211858e-05,0.9589172886434982,72.85769104641507
52,35000,500,-2000.0,30,0.8576019420580506,2.656338294098661e-05,4.142386823098205e-05,8.543710458090138e-06,1.5260283924442567e-05,0.9565841820670048,36.29697315730181
53,25000,600,-300.0,-35,0.5045630885821702,-0.0001252086270907,0.0002328821570904,1.2808811201347912e-05,2.368215749318961e-05,0.9694212464713088,-2.9923351047946447
54,29000,400,5000.0,-40,0.7080409319480996,1.0485378134324588e-05,8.378029021584918e-06,8.772202028507637e-06,1.038141200852762e-05,0.8499614210538643,-16.57941207429011
55,31000,500,5000.0,-40,0.7385109139231509,1.299020212047663e-05,1.3329650021949604e-05,8.68538935602338e-06,1.1546530078911055e-05,0.8976610416040127,-16.794736311238793
56,29000,600,-500.0,-30,0.6633353333697184,-0.0001116416937758,0.0002080738007821,1.0870869452033554e-05,1.2767837994669714e-05,0.9376481462669646,-3.2246477203437376
57,30000,400,-6000.0,-30,0.6854181789104743,-6.371961936716501e-06,3.5800535355048345e-06,7.691040474654647e-06,7.651097393189096e-06,0.732918668874957,-138.94731328862045
58,35000,400,-500.0,-35,0.6219226814858223,-9.100780995378832e-05,0.0001695925477275,8.985682054050135e-06,1.9812383529262917e-05,0.9725646077482304,-34.838617452322886
59,31000,600,-2000.0,35,0.7849223815383501,3.6919801671181096e-05,6.0704208548756335e-05,9.706977153992734e-06,1.6954501851655343e-05,0.9567119915516809,71.71061581180476
60,35000,500,300.0,-40,0.4310526650147987,0.0001108714162423,0.0002081324557423,8.941013718251444e-06,1.300565578829965e-05,0.9549732411395608,2.875204425515953
61,35000,600,6000.0,-40,0.7812222012442404,1.2991062063341984e-05,1.4503254787275044e-05,7.858642683415118e-06,1.0844423371008917e-05,0.9119568238838718,-17.07894765261626
62,35000,400,300.0,30,0.4849707536832466,-0.0001106945140153,0.0002080785485871,8.917695609521686e-06,1.6870849507872114e-05,0.9683525751846598,-55.07712256943119
63,30000,500,-2000.0,-30,0.7886421991480986,-2.4700011413233545e-05,3.6184217621788826e-05,9.753782453464955e-06,1.6563088618621393e-05,0.9480380437550212,-35.354843148295394
64,30000,600,1000.0,-35,0.753630245034906,6.835732384998579e-05,0.0001213259532252,1.0276389442290708e-05,1.8707684720644142e-05,0.963717593063621,-70.74519324909558
65,30000,400,4000.0,30,0.7554092058516376,-1.108083596754256e-05,9.773786781727244e-06,8.67697120021296e-06,1.0727508083145717e-05,0.8717688193649462,16.921955387139043
66,25000,500,-1500.0,30,0.6861502686740204,3.585672249654217e-05,5.590401114486368e-05,1.1773124740759076e-05,1.938782540998587e-05,0.947072782758509,33.89574015610018
67,25000,500,300.0,-30,0.5716978379393568,0.0001041928746375,0.0001898850647875,1.230775767022851e-05,2.1029865360346512e-05,0.9610281615831548,3.3588046975197097
68,35000,600,1000.0,35,0.7785461552423308,-7.437467850466061e-05,0.0001353408926314,8.915381806849502e-06,1.704957125534766e-05,0.9680166464265036,64.51931346926695
69,30000,500,5000.0,-30,0.7124353883829201,1.0260170724729858e-05,8.512063681364946e-06,8.526293291983991e-06,1.0169338790946949e-05,0.8549150137855863,-16.608067685151525
