,en,t,r,chi,fit_a,fit_c,fit_hw,fit_gw,fit_lw,fit_pv,fit_skew
0,28000,1600,-inf,-36,0.4875567426286609,3.96930282497273e-07,4.2407859076973625e-12,7.702871423688768e-06,2.295310884373969e-05,0.6087957442309286,-151.669356426514
1,28000,1600,-inf,-35,0.5429454337078984,3.796811339659719e-07,2.698118462279601e-36,6.142143619673867e-06,1.9645069847466992e-05,0.5804987188014142,45.05216916102909
2,28000,1600,-inf,35,0.5449029350255483,-4.308849302714219e-07,1.2397541384524373e-35,6.587429087010133e-06,2.0675615751528925e-05,0.564619350503999,163.87718299024007
3,28000,1600,-inf,36,0.4884654023505164,-4.325509655790305e-07,6.045086157380173e-13,8.38226758852264e-06,2.4322921995089256e-05,0.5948714930283647,38.52500457299731
4,28000,1600,-inf,37,0.5185342676869266,-4.5244258373520754e-07,2.972740581725569e-08,7.402770069544667e-06,2.194495532561129e-05,0.5807133048012416,22.691603629757328
5,28000,1600,-140000.0,-36,0.7719694608129185,-5.1321218184316765e-06,1.5316882836487386e-06,9.048331217511169e-06,2.157273229883626e-05,0.713809928845083,-229.57294186828125
6,28000,1600,-140000.0,-35,0.7705874715354177,-4.87688912710736e-06,1.1666724503560338e-06,8.988281556560885e-06,2.154102987819171e-05,0.71111455985197,-255.1138590133729
7,28000,1600,-140000.0,35,0.5280282732815452,5.201558494052226e-06,2.2072308063858933e-06,1.0460572039982257e-05,2.6161599184816075e-05,0.6488295417031255,-170.95393278590407
8,28000,1600,-140000.0,36,0.5268179326035084,5.484334748202341e-06,2.9093008918867704e-06,1.0365813112216884e-05,2.5985985608920463e-05,0.6481975424617812,-146.28393721356926
9,28000,1600,-140000.0,37,0.5347300467610377,5.785208617460263e-06,2.6752577632082268e-06,1.0865015284753286e-05,2.683961680155924e-05,0.6623304699499206,-137.7243498275871
10,28000,1600,-130000.0,-36,0.7703602949979811,-5.555834894518862e-06,2.4059734382293485e-06,8.999178042186508e-06,2.1370197928540176e-05,0.7118460728716703,-232.53074034593928
11,28000,1600,-130000.0,-35,0.7659653692897137,-5.281308175803907e-06,2.1525191536027703e-06,8.864180129889522e-06,2.1279043391028896e-05,0.7077742896675904,-234.68318363547863
12,28000,1600,-130000.0,35,0.5227731417700522,5.64828803734912e-06,3.931967446934876e-06,9.919458912795253e-06,2.5349223839893246e-05,0.6402347367892229,-219.8474598690649
13,28000,1600,-130000.0,36,0.5262472960019708,5.954667921037123e-06,4.227722365763326e-06,1.0083539433727858e-05,2.548110269734791e-05,0.6448332787665216,-198.95903418293327
14,28000,1600,-130000.0,37,0.5361281553321275,6.280090944699119e-06,3.95246168205025e-06,1.0586596006144862e-05,2.604597874066608e-05,0.6565717203193717,-178.26984271432917
15,28000,1600,-120000.0,-36,0.7778380576703363,-6.049737824816423e-06,2.9331764892505565e-06,9.2162662952318e-06,2.157223895076485e-05,0.7169853109197145,-236.21595424445243
16,28000,1600,-120000.0,-35,0.7735175734526167,-5.7500661547900844e-06,2.6477322317000704e-06,9.070199619666144e-06,2.145716493780503e-05,0.7127284466525943,-264.5311353109795
17,28000,1600,-120000.0,35,0.532436228679295,6.151271692186927e-06,4.475563280350887e-06,1.010081869459402e-05,2.543379146331807e-05,0.647456625402534,-135.08760380128922
18,28000,1600,-120000.0,36,0.5365875738452502,6.495522860644721e-06,4.781861439162252e-06,1.0287485610390214e-05,2.55574648566498e-05,0.6521066801481084,-199.03898830224787
