,en,t,r,chi,fit_a,fit_c,fit_hw,fit_gw,fit_skew
29,30000,200,-9000,-30,0.4233047059337483,2.2502566020339982e-05,3.0854934836800763e-05,1.038785439462046e-05,-1042.8776961148965
30,30000,200,-10000,-30,0.4158984577523326,2.0284580104434613e-05,2.655447896351922e-05,1.03586780798094e-05,-1156.3345839695503
31,30000,200,-15000,-30,0.3842390656069174,1.3634386187247146e-05,1.3827332532520655e-05,1.026562364612248e-05,-1730.406454755543
32,30000,200,-20000,-30,0.3589708505419641,1.031651947119836e-05,7.637557276414766e-06,1.0237264507294664e-05,-2354.740551121452
33,30000,200,-25000,-30,0.3382771958117574,8.337666012385905e-06,4.002642588672778e-06,1.0267047139660658e-05,-3146.343532926612
34,30000,200,-30000,-30,0.3215394004102773,7.045136156356348e-06,1.5480191572709855e-06,1.0373446170156548e-05,-4484.063334252162
35,30000,200,-35000,-30,0.3040714218982702,6.6335034789189615e-06,1.661169677423303e-13,1.0480017041786793e-05,-19172.52470156268
36,30000,200,-40000,-30,0.2808757788201382,6.069528176935885e-06,1.2629437817861812e-13,1.0066778742516942e-05,-24985.432815598982
37,30000,200,-50000,-30,0.246056751877072,5.312443858435532e-06,1.6333942211229661e-13,9.661716205725553e-06,-34831.29392075216
38,30000,200,-60000,-30,0.2245138058886466,3.0515306146837845e-06,1.092556699803209e-13,9.4554996797762e-06,15819.114529791645
39,30000,200,-70000,-30,0.2078877974401545,2.572601601019405e-06,2.0836286650336625e-13,9.368966210086366e-06,16183.791636760514
40,30000,200,-500000,-30,0.1576805395132473,5.327295285987554e-07,5.91765031582087e-14,9.130325690378776e-06,2401.234541500602
41,35000,200,1000,-30,0.608963870180504,0.0002009112920447,0.000388024602952,9.479908405958086e-06,-62.19588119312344
42,25000,200,1000,-30,0.3001707612388929,0.0001987796401747,0.0003788712694875,1.293672406179892e-05,-254.3821171991628
43,30000,1000,1000,-30,0.0400921348512058,0.0009979262984225,0.0019802734061701,1.0790771315625936e-05,-117.9768151413656
44,30000,1000,2000,-30,0.0395803605295916,0.0004993934498507,0.0009837315394465,1.057634545688352e-05,-237.86986880005463
45,30000,1000,3000,-30,0.0380797252485705,0.0003330955032072,0.0006515489239436,1.0414623043505386e-05,-357.9896560026568
46,30000,1000,4000,-30,0.036720041193803,0.0002499246535329,0.0004855530573013,1.0285051648027784e-05,-478.28636924500574
47,30000,1000,5000,-30,0.0354924112625417,0.0002000155998417,0.0003860333928345,1.017802493319368e-05,-598.7149220354277
48,30000,1000,6000,-30,0.0343701290111015,0.0001667404466074,0.0003197464264262,1.0087563490703415e-05,-719.2356098669479
49,30000,1000,7000,-30,0.0333346772701909,0.0001429714907442,0.0002724439208126,1.0010272686807156e-05,-839.8158839126006
50,30000,1000,8000,-30,0.0323727511541987,0.0001251443843619,0.0002370024399776,9.94362287967698e-06,-960.42682374036
51,30000,1000,9000,-30,0.0314743170902974,0.0001112787414998,0.0002094649634524,9.88583473905705e-06,-1081.0427117430463
52,30000,1000,10000,-30,0.0306315240051565,0.0001001862467305,0.000187457890327,9.835417916143774e-06,-1201.6405615496212
53,30000,1000,15000,-30,0.0270655745312787,6.691029816570046e-05,0.0001216193771795,9.6648141376568e-06,-1803.71038771067
54,30000,1000,20000,-30,0.0242740086325418,5.027530481047002e-05,8.8866204078042e-05,9.584273206646224e-06,-2402.954152856504
55,30000,1000,25000,-30,0.0220086278126856,4.029720215642642e-05,6.930176477135489e-05,9.560549860686642e-06,-2998.1429898310444
56,30000,1000,30000,-30,0.0201256971181063,3.364781876144129e-05,5.630698812211607e-05,9.576577178166377e-06,-3588.527970927029
57,30000,1000,35000,-30,0.0185329704843435,2.8900798315508583e-05,4.705114338040637e-05,9.622476586114156e-06,-4173.71422914174
58,30000,1000,40000,-30,0.0171672653010569,2.534298879239077e-05,4.012197929451204e-05,9.692027720437194e-06,-4753.587739196054
59,30000,1000,50000,-30,0.0149474388445957,2.036884496043112e-05,3.0426796197536453e-05,9.886589792108223e-06,-5898.086482579859
60,30000,1000,60000,-30,0.0132234933174768,1.706183735254436e-05,2.3942284555696377e-05,1.0139554165264367e-05,-7025.404189110071
