E,K,harmonic,E FWHM,dx,dz,dx',dz'
8800,1.309,3,162.24786001387656,0.03893136609452777,0.00603619134770812,7.352981659962714e-06,7.220182633967433e-06
15000,1.76,7,176.3960777431239,0.038888042092368624,0.0057501441527872885,1.0143013281119827e-05,1.0047159618373248e-05
17000,1.58,7,218.5118480637102,0.03887122969548642,0.005635320579990561,9.56542005093516e-06,9.463718018143252e-06
