,K,E,logI,I
0,0.5,1000.0,25.15923472006771,84433891843.25526
1,0.5,1593.75,25.122862338135924,81418009966.01746
2,0.5,2187.5,25.438408197327135,111624700977.57129
3,0.5,3375.0,26.37243452825653,284055230063.9472
4,0.5,3968.75,27.380653252772333,778514343645.7675
5,0.5,4265.625,28.246602318395382,1850731937000.903
6,0.5,4414.0625,28.926417888263796,3652444875762.943
7,0.5,4562.5,30.11302871409099,11965261758800.408
8,0.5,4710.9375,34.087124613742844,636575798816380.4
9,0.5,4859.375,34.56649035872936,1028101568112920.8
10,0.5,5007.8125,30.00632482209252,10754278830923.037
11,0.5,5156.25,28.8351241354525,3333767412254.607
12,0.5,5453.125,27.573651921152607,944245394539.1506
13,0.5,5750.0,26.792134553209294,432191473724.6628
14,0.5,6343.75,25.77682218399682,156578322343.63858
15,0.5,6937.5,25.116239247855972,80880552913.53119
16,0.5,7531.25,24.67684181358082,52121418953.88398
17,0.5,8125.0,24.48432978442464,42994145165.37096
18,0.5,8718.75,24.82681239306895,60554667744.68091
19,0.5,9015.625,25.574779606029455,127933905731.0623
20,0.5,9164.0625,26.52564245775866,331085490277.3086
21,0.5,9312.5,29.959182994569566,10259066781541.463
22,0.5,9460.9375,31.247286859251933,37198399766466.984
23,0.5,9609.375,30.97680435396146,28382797449487.637
24,0.5,9757.8125,28.206501481662087,1777984404593.5637
25,0.5,9906.25,25.96787579934406,189541872352.7684
26,0.5,10203.125,24.84733273276159,61810107063.91316
27,0.5,10500.0,24.2969561741547,35647903497.55356
28,0.5,11093.75,23.763297022900552,20905895195.21554
29,0.5,11687.5,23.5655029574525,17154098428.868452
30,0.5,12281.25,23.576956685356603,17351706317.900555
31,0.5,12875.0,23.81655043222156,22049382462.727207
32,0.5,13468.75,24.46711417224931,42260309475.97258
33,0.5,13765.625,25.269322907251507,94260014026.78552
34,0.5,14062.5,28.87870122336079,3482255121858.0757
35,0.5,14359.375,30.65299157960589,20531708837347.152
36,0.5,14507.8125,30.86449112520277,25367529987018.598
37,0.5,14656.25,29.11379107101928,4405130811512.158
38,0.5,14804.6875,25.81109382252989,162037531703.82587
39,0.5,14953.125,24.877655382541644,63713058756.556145
40,0.5,15250.0,23.768131993073663,21007219327.117123
41,0.5,15843.75,22.514807586953165,5998693826.866849
42,0.5,16437.5,21.85523786195573,3101767235.4443245
43,0.5,17031.25,21.620414278667145,2452599400.0326633
44,0.5,17625.0,21.807535604334713,2957279528.124816
45,0.5,17921.875,22.108370268932166,3995243114.2032413
46,0.5,18218.75,22.673400482529846,7029634026.045285
47,0.5,18515.625,25.920182589708116,180714195475.60504
48,0.5,18812.5,27.90676094307249,1317505040383.308
49,0.5,19109.375,28.463522783515657,2299063043596.5225
50,0.5,19257.8125,28.10779272633273,1610865497118.4082
51,0.5,19406.25,27.174902994100393,633738974270.9547
52,0.5,19703.125,22.65626950232905,6910235134.737656
53,0.5,20000.0,21.59486637166187,2390734246.1281395
54,0.5007626643618222,4771.754689987015,34.832739231800936,1341734039731054.8
55,0.5013869836915105,18628.444438093786,27.06244418916667,566330795721.9266
56,0.5014095127013275,18372.511589161848,23.69580027742226,19541383361.014267
57,0.5015867210303893,19257.27484635241,28.081700417409298,1569377904211.2214
58,0.5016585095993723,9480.359972932085,31.373921447098247,42220265511839.805
59,0.5016981920643852,9750.62690532805,28.21151143462431,1786914373512.026
60,0.5017130503389562,14200.790791286403,30.198634731171,13034681530906.295
