"Energy (eV)"	"Flux (ph/s/0.1%B.W.)"
1.00000e+1	1.05853e+13
1.43327e+2	6.26939e+13
2.76653e+2	9.73226e+13
4.09980e+2	1.26569e+14
5.43307e+2	1.52704e+14
6.76633e+2	1.76696e+14
8.09960e+2	1.99070e+14
9.43287e+2	2.20153e+14
1.07661e+3	2.40166e+14
1.20994e+3	2.59265e+14
1.34327e+3	2.77569e+14
1.47659e+3	2.95168e+14
1.60992e+3	3.12135e+14
1.74325e+3	3.28527e+14
1.87657e+3	3.44393e+14
2.00990e+3	3.59773e+14
2.14323e+3	3.74703e+14
2.27655e+3	3.89211e+14
2.40988e+3	4.03323e+14
2.54321e+3	4.17062e+14
2.67653e+3	4.30448e+14
2.80986e+3	4.43498e+14
2.94319e+3	4.56229e+14
3.07651e+3	4.68654e+14
3.20984e+3	4.80788e+14
3.34317e+3	4.92640e+14
3.47649e+3	5.04223e+14
3.60982e+3	5.15546e+14
3.74315e+3	5.26619e+14
3.87647e+3	5.37450e+14
4.00980e+3	5.48046e+14
4.14313e+3	5.58416e+14
4.27645e+3	5.68565e+14
4.40978e+3	5.78501e+14
4.54311e+3	5.88230e+14
4.67643e+3	5.97756e+14
4.80976e+3	6.07086e+14
4.94309e+3	6.16225e+14
5.07641e+3	6.25177e+14
5.20974e+3	6.33947e+14
5.34307e+3	6.42540e+14
5.47639e+3	6.50959e+14
5.60972e+3	6.59208e+14
5.74305e+3	6.67291e+14
5.87637e+3	6.75212e+14
6.00970e+3	6.82974e+14
6.14303e+3	6.90580e+14
6.27635e+3	6.98035e+14
6.40968e+3	7.05339e+14
6.54301e+3	7.12498e+14
6.67633e+3	7.19513e+14
6.80966e+3	7.26387e+14
6.94299e+3	7.33123e+14
7.07631e+3	7.39724e+14
7.20964e+3	7.46191e+14
7.34297e+3	7.52528e+14
7.47629e+3	7.58736e+14
7.60962e+3	7.64818e+14
7.74295e+3	7.70776e+14
7.87627e+3	7.76612e+14
8.00960e+3	7.82328e+14
8.14293e+3	7.87927e+14
8.27625e+3	7.93409e+14
8.40958e+3	7.98778e+14
8.54291e+3	8.04035e+14
8.67623e+3	8.09181e+14
8.80956e+3	8.14219e+14
8.94289e+3	8.19149e+14
9.07621e+3	8.23975e+14
9.20954e+3	8.28697e+14
9.34287e+3	8.33317e+14
9.47619e+3	8.37836e+14
9.60952e+3	8.42257e+14
9.74285e+3	8.46580e+14
9.87617e+3	8.50808e+14
1.00095e+4	8.54940e+14
1.01428e+4	8.58980e+14
1.02762e+4	8.62928e+14
1.04095e+4	8.66785e+14
1.05428e+4	8.70554e+14
1.06761e+4	8.74234e+14
1.08095e+4	8.77828e+14
1.09428e+4	8.81337e+14
1.10761e+4	8.84761e+14
1.12094e+4	8.88103e+14
1.13428e+4	8.91363e+14
1.14761e+4	8.94542e+14
1.16094e+4	8.97642e+14
1.17427e+4	9.00663e+14
1.18761e+4	9.03607e+14
1.20094e+4	9.06475e+14
1.21427e+4	9.09268e+14
1.22761e+4	9.11987e+14
1.24094e+4	9.14632e+14
1.25427e+4	9.17206e+14
1.26760e+4	9.19708e+14
1.28094e+4	9.22140e+14
1.29427e+4	9.24503e+14
1.30760e+4	9.26798e+14
1.32093e+4	9.29025e+14
1.33427e+4	9.31187e+14
1.34760e+4	9.33282e+14
1.36093e+4	9.35313e+14
1.37426e+4	9.37280e+14
1.38760e+4	9.39184e+14
1.40093e+4	9.41027e+14
1.41426e+4	9.42808e+14
1.42760e+4	9.44528e+14
1.44093e+4	9.46189e+14
1.45426e+4	9.47791e+14
1.46759e+4	9.49335e+14
1.48093e+4	9.50822e+14
1.49426e+4	9.52252e+14
1.50759e+4	9.53627e+14
1.52092e+4	9.54947e+14
1.53426e+4	9.56212e+14
1.54759e+4	9.57424e+14
1.56092e+4	9.58583e+14
1.57425e+4	9.59690e+14
1.58759e+4	9.60745e+14
1.60092e+4	9.61750e+14
1.61425e+4	9.62704e+14
1.62759e+4	9.63609e+14
1.64092e+4	9.64466e+14
1.65425e+4	9.65274e+14
1.66758e+4	9.66035e+14
1.68092e+4	9.66749e+14
1.69425e+4	9.67416e+14
1.70758e+4	9.68039e+14
1.72091e+4	9.68616e+14
1.73425e+4	9.69148e+14
1.74758e+4	9.69637e+14
1.76091e+4	9.70083e+14
1.77424e+4	9.70486e+14
1.78758e+4	9.70847e+14
1.80091e+4	9.71167e+14
1.81424e+4	9.71445e+14
1.82758e+4	9.71683e+14
1.84091e+4	9.71882e+14
1.85424e+4	9.72040e+14
1.86757e+4	9.72161e+14
1.88091e+4	9.72242e+14
1.89424e+4	9.72287e+14
1.90757e+4	9.72293e+14
1.92090e+4	9.72264e+14
1.93424e+4	9.72197e+14
1.94757e+4	9.72096e+14
1.96090e+4	9.71958e+14
1.97423e+4	9.71786e+14
1.98757e+4	9.71580e+14
2.00090e+4	9.71340e+14
2.01423e+4	9.71067e+14
2.02757e+4	9.70760e+14
2.04090e+4	9.70421e+14
2.05423e+4	9.70051e+14
2.06756e+4	9.69648e+14
2.08090e+4	9.69215e+14
2.09423e+4	9.68750e+14
2.10756e+4	9.68256e+14
2.12089e+4	9.67731e+14
2.13423e+4	9.67177e+14
2.14756e+4	9.66595e+14
2.16089e+4	9.65983e+14
2.17422e+4	9.65343e+14
2.18756e+4	9.64676e+14
2.20089e+4	9.63981e+14
2.21422e+4	9.63259e+14
2.22756e+4	9.62510e+14
2.24089e+4	9.61735e+14
2.25422e+4	9.60934e+14
2.26755e+4	9.60108e+14
2.28089e+4	9.59256e+14
2.29422e+4	9.58380e+14
2.30755e+4	9.57479e+14
2.32088e+4	9.56555e+14
2.33422e+4	9.55606e+14
2.34755e+4	9.54634e+14
2.36088e+4	9.53639e+14
2.37421e+4	9.52622e+14
2.38755e+4	9.51582e+14
2.40088e+4	9.50520e+14
2.41421e+4	9.49436e+14
2.42755e+4	9.48331e+14
2.44088e+4	9.47205e+14
2.45421e+4	9.46058e+14
2.46754e+4	9.44890e+14
2.48088e+4	9.43703e+14
2.49421e+4	9.42496e+14
2.50754e+4	9.41269e+14
2.52087e+4	9.40023e+14
2.53421e+4	9.38758e+14
2.54754e+4	9.37475e+14
2.56087e+4	9.36173e+14
2.57420e+4	9.34853e+14
2.58754e+4	9.33515e+14
2.60087e+4	9.32160e+14
2.61420e+4	9.30788e+14
2.62754e+4	9.29399e+14
2.64087e+4	9.27993e+14
2.65420e+4	9.26571e+14
2.66753e+4	9.25132e+14
2.68087e+4	9.23678e+14
2.69420e+4	9.22208e+14
2.70753e+4	9.20723e+14
2.72086e+4	9.19223e+14
2.73420e+4	9.17708e+14
2.74753e+4	9.16178e+14
2.76086e+4	9.14634e+14
2.77419e+4	9.13076e+14
2.78753e+4	9.11504e+14
2.80086e+4	9.09919e+14
2.81419e+4	9.08320e+14
2.82753e+4	9.06707e+14
2.84086e+4	9.05082e+14
2.85419e+4	9.03445e+14
2.86752e+4	9.01794e+14
2.88086e+4	9.00132e+14
2.89419e+4	8.98457e+14
2.90752e+4	8.96771e+14
2.92085e+4	8.95073e+14
2.93419e+4	8.93364e+14
2.94752e+4	8.91643e+14
2.96085e+4	8.89911e+14
2.97418e+4	8.88169e+14
2.98752e+4	8.86416e+14
3.00085e+4	8.84653e+14
3.01418e+4	8.82880e+14
3.02752e+4	8.81096e+14
3.04085e+4	8.79303e+14
3.05418e+4	8.77500e+14
3.06751e+4	8.75688e+14
3.08085e+4	8.73866e+14
3.09418e+4	8.72036e+14
3.10751e+4	8.70197e+14
3.12084e+4	8.68349e+14
3.13418e+4	8.66492e+14
3.14751e+4	8.64627e+14
3.16084e+4	8.62754e+14
3.17417e+4	8.60874e+14
3.18751e+4	8.58985e+14
3.20084e+4	8.57089e+14
3.21417e+4	8.55185e+14
3.22751e+4	8.53274e+14
3.24084e+4	8.51355e+14
3.25417e+4	8.49430e+14
3.26750e+4	8.47498e+14
3.28084e+4	8.45560e+14
3.29417e+4	8.43615e+14
3.30750e+4	8.41663e+14
3.32083e+4	8.39705e+14
3.33417e+4	8.37742e+14
3.34750e+4	8.35772e+14
3.36083e+4	8.33797e+14
3.37416e+4	8.31816e+14
3.38750e+4	8.29829e+14
3.40083e+4	8.27838e+14
3.41416e+4	8.25841e+14
3.42750e+4	8.23839e+14
3.44083e+4	8.21832e+14
3.45416e+4	8.19820e+14
3.46749e+4	8.17804e+14
3.48083e+4	8.15782e+14
3.49416e+4	8.13757e+14
3.50749e+4	8.11727e+14
3.52082e+4	8.09694e+14
3.53416e+4	8.07655e+14
3.54749e+4	8.05614e+14
3.56082e+4	8.03568e+14
3.57415e+4	8.01518e+14
3.58749e+4	7.99465e+14
3.60082e+4	7.97408e+14
3.61415e+4	7.95349e+14
3.62749e+4	7.93287e+14
3.64082e+4	7.91221e+14
3.65415e+4	7.89153e+14
3.66748e+4	7.87082e+14
3.68082e+4	7.85009e+14
3.69415e+4	7.82933e+14
3.70748e+4	7.80854e+14
3.72081e+4	7.78773e+14
3.73415e+4	7.76690e+14
3.74748e+4	7.74604e+14
3.76081e+4	7.72517e+14
3.77414e+4	7.70427e+14
3.78748e+4	7.68336e+14
3.80081e+4	7.66243e+14
3.81414e+4	7.64148e+14
3.82748e+4	7.62052e+14
3.84081e+4	7.59954e+14
3.85414e+4	7.57855e+14
3.86747e+4	7.55754e+14
3.88081e+4	7.53653e+14
3.89414e+4	7.51550e+14
3.90747e+4	7.49446e+14
3.92080e+4	7.47342e+14
3.93414e+4	7.45236e+14
3.94747e+4	7.43130e+14
3.96080e+4	7.41022e+14
3.97413e+4	7.38915e+14
3.98747e+4	7.36807e+14
4.00080e+4	7.34699e+14
4.01413e+4	7.32590e+14
4.02747e+4	7.30482e+14
4.04080e+4	7.28373e+14
4.05413e+4	7.26264e+14
4.06746e+4	7.24155e+14
4.08080e+4	7.22046e+14
4.09413e+4	7.19937e+14
4.10746e+4	7.17829e+14
4.12079e+4	7.15720e+14
4.13413e+4	7.13613e+14
4.14746e+4	7.11505e+14
4.16079e+4	7.09398e+14
4.17412e+4	7.07292e+14
4.18746e+4	7.05185e+14
4.20079e+4	7.03080e+14
4.21412e+4	7.00976e+14
4.22746e+4	6.98872e+14
4.24079e+4	6.96770e+14
4.25412e+4	6.94667e+14
4.26745e+4	6.92567e+14
4.28079e+4	6.90467e+14
4.29412e+4	6.88369e+14
4.30745e+4	6.86271e+14
4.32078e+4	6.84173e+14
4.33412e+4	6.82079e+14
4.34745e+4	6.79986e+14
4.36078e+4	6.77894e+14
4.37411e+4	6.75804e+14
4.38745e+4	6.73716e+14
4.40078e+4	6.71629e+14
4.41411e+4	6.69544e+14
4.42745e+4	6.67461e+14
4.44078e+4	6.65380e+14
4.45411e+4	6.63300e+14
4.46744e+4	6.61222e+14
4.48078e+4	6.59147e+14
4.49411e+4	6.57073e+14
4.50744e+4	6.55001e+14
4.52077e+4	6.52931e+14
4.53411e+4	6.50864e+14
4.54744e+4	6.48798e+14
4.56077e+4	6.46736e+14
4.57410e+4	6.44675e+14
4.58744e+4	6.42616e+14
4.60077e+4	6.40560e+14
4.61410e+4	6.38506e+14
4.62744e+4	6.36455e+14
4.64077e+4	6.34406e+14
4.65410e+4	6.32360e+14
4.66743e+4	6.30316e+14
4.68077e+4	6.28276e+14
4.69410e+4	6.26238e+14
4.70743e+4	6.24202e+14
4.72076e+4	6.22170e+14
4.73410e+4	6.20140e+14
4.74743e+4	6.18113e+14
4.76076e+4	6.16089e+14
4.77409e+4	6.14068e+14
4.78743e+4	6.12050e+14
4.80076e+4	6.10034e+14
4.81409e+4	6.08022e+14
4.82743e+4	6.06012e+14
4.84076e+4	6.04006e+14
4.85409e+4	6.02003e+14
4.86742e+4	6.00004e+14
4.88076e+4	5.98006e+14
4.89409e+4	5.96012e+14
4.90742e+4	5.94022e+14
4.92075e+4	5.92035e+14
4.93409e+4	5.90050e+14
4.94742e+4	5.88069e+14
4.96075e+4	5.86091e+14
4.97408e+4	5.84118e+14
4.98742e+4	5.82148e+14
5.00075e+4	5.80181e+14
5.01408e+4	5.78218e+14
5.02742e+4	5.76258e+14
5.04075e+4	5.74302e+14
5.05408e+4	5.72350e+14
5.06741e+4	5.70401e+14
5.08075e+4	5.68456e+14
5.09408e+4	5.66514e+14
5.10741e+4	5.64576e+14
5.12074e+4	5.62641e+14
5.13408e+4	5.60711e+14
5.14741e+4	5.58784e+14
5.16074e+4	5.56859e+14
5.17407e+4	5.54940e+14
5.18741e+4	5.53024e+14
5.20074e+4	5.51112e+14
5.21407e+4	5.49204e+14
5.22741e+4	5.47300e+14
5.24074e+4	5.45400e+14
5.25407e+4	5.43502e+14
5.26740e+4	5.41610e+14
5.28074e+4	5.39721e+14
5.29407e+4	5.37837e+14
5.30740e+4	5.35955e+14
5.32073e+4	5.34079e+14
5.33407e+4	5.32204e+14
5.34740e+4	5.30336e+14
5.36073e+4	5.28471e+14
5.37406e+4	5.26611e+14
5.38740e+4	5.24754e+14
5.40073e+4	5.22902e+14
5.41406e+4	5.21054e+14
5.42740e+4	5.19210e+14
5.44073e+4	5.17371e+14
5.45406e+4	5.15535e+14
5.46739e+4	5.13704e+14
5.48073e+4	5.11877e+14
5.49406e+4	5.10054e+14
5.50739e+4	5.08235e+14
5.52072e+4	5.06421e+14
5.53406e+4	5.04611e+14
5.54739e+4	5.02805e+14
5.56072e+4	5.01003e+14
5.57405e+4	4.99206e+14
5.58739e+4	4.97413e+14
5.60072e+4	4.95624e+14
5.61405e+4	4.93839e+14
5.62739e+4	4.92059e+14
5.64072e+4	4.90283e+14
5.65405e+4	4.88512e+14
5.66738e+4	4.86745e+14
5.68072e+4	4.84982e+14
5.69405e+4	4.83224e+14
5.70738e+4	4.81470e+14
5.72071e+4	4.79720e+14
5.73405e+4	4.77975e+14
5.74738e+4	4.76234e+14
5.76071e+4	4.74498e+14
5.77404e+4	4.72766e+14
5.78738e+4	4.71039e+14
5.80071e+4	4.69316e+14
5.81404e+4	4.67597e+14
5.82738e+4	4.65883e+14
5.84071e+4	4.64173e+14
5.85404e+4	4.62468e+14
5.86737e+4	4.60767e+14
5.88071e+4	4.59071e+14
5.89404e+4	4.57379e+14
5.90737e+4	4.55692e+14
5.92070e+4	4.54009e+14
5.93404e+4	4.52331e+14
5.94737e+4	4.50657e+14
5.96070e+4	4.48987e+14
5.97403e+4	4.47323e+14
5.98737e+4	4.45662e+14
6.00070e+4	4.44006e+14
6.01403e+4	4.42355e+14
6.02737e+4	4.40708e+14
6.04070e+4	4.39066e+14
6.05403e+4	4.37428e+14
6.06736e+4	4.35795e+14
6.08070e+4	4.34167e+14
6.09403e+4	4.32543e+14
6.10736e+4	4.30923e+14
6.12069e+4	4.29308e+14
6.13403e+4	4.27697e+14
6.14736e+4	4.26092e+14
6.16069e+4	4.24490e+14
6.17402e+4	4.22893e+14
6.18736e+4	4.21301e+14
6.20069e+4	4.19713e+14
6.21402e+4	4.18130e+14
6.22736e+4	4.16551e+14
6.24069e+4	4.14977e+14
6.25402e+4	4.13408e+14
6.26735e+4	4.11843e+14
6.28069e+4	4.10282e+14
6.29402e+4	4.08726e+14
6.30735e+4	4.07175e+14
6.32068e+4	4.05628e+14
6.33402e+4	4.04086e+14
6.34735e+4	4.02548e+14
6.36068e+4	4.01015e+14
6.37401e+4	3.99486e+14
6.38735e+4	3.97962e+14
6.40068e+4	3.96442e+14
6.41401e+4	3.94927e+14
6.42735e+4	3.93417e+14
6.44068e+4	3.91911e+14
6.45401e+4	3.90409e+14
6.46734e+4	3.88912e+14
6.48068e+4	3.87420e+14
6.49401e+4	3.85932e+14
6.50734e+4	3.84449e+14
6.52067e+4	3.82970e+14
6.53401e+4	3.81496e+14
6.54734e+4	3.80026e+14
6.56067e+4	3.78561e+14
6.57400e+4	3.77100e+14
6.58734e+4	3.75644e+14
6.60067e+4	3.74192e+14
6.61400e+4	3.72745e+14
6.62734e+4	3.71302e+14
6.64067e+4	3.69863e+14
6.65400e+4	3.68430e+14
6.66733e+4	3.67000e+14
6.68067e+4	3.65575e+14
6.69400e+4	3.64155e+14
6.70733e+4	3.62739e+14
6.72066e+4	3.61328e+14
6.73400e+4	3.59921e+14
6.74733e+4	3.58518e+14
6.76066e+4	3.57120e+14
6.77399e+4	3.55726e+14
6.78733e+4	3.54337e+14
6.80066e+4	3.52952e+14
6.81399e+4	3.51572e+14
6.82733e+4	3.50196e+14
6.84066e+4	3.48824e+14
6.85399e+4	3.47457e+14
6.86732e+4	3.46095e+14
6.88066e+4	3.44736e+14
6.89399e+4	3.43382e+14
6.90732e+4	3.42033e+14
6.92065e+4	3.40688e+14
6.93399e+4	3.39347e+14
6.94732e+4	3.38011e+14
6.96065e+4	3.36678e+14
6.97398e+4	3.35351e+14
6.98732e+4	3.34027e+14
7.00065e+4	3.32708e+14
7.01398e+4	3.31394e+14
7.02732e+4	3.30084e+14
7.04065e+4	3.28778e+14
7.05398e+4	3.27476e+14
7.06731e+4	3.26179e+14
7.08065e+4	3.24885e+14
7.09398e+4	3.23597e+14
7.10731e+4	3.22312e+14
7.12064e+4	3.21032e+14
7.13398e+4	3.19756e+14
7.14731e+4	3.18485e+14
7.16064e+4	3.17217e+14
7.17397e+4	3.15954e+14
7.18731e+4	3.14695e+14
7.20064e+4	3.13441e+14
7.21397e+4	3.12190e+14
7.22731e+4	3.10944e+14
7.24064e+4	3.09702e+14
7.25397e+4	3.08464e+14
7.26730e+4	3.07231e+14
7.28064e+4	3.06002e+14
7.29397e+4	3.04776e+14
7.30730e+4	3.03555e+14
7.32063e+4	3.02339e+14
7.33397e+4	3.01126e+14
7.34730e+4	2.99918e+14
7.36063e+4	2.98713e+14
7.37396e+4	2.97513e+14
7.38730e+4	2.96317e+14
7.40063e+4	2.95125e+14
7.41396e+4	2.93937e+14
7.42730e+4	2.92753e+14
7.44063e+4	2.91574e+14
7.45396e+4	2.90398e+14
7.46729e+4	2.89227e+14
7.48063e+4	2.88060e+14
7.49396e+4	2.86896e+14
7.50729e+4	2.85737e+14
7.52062e+4	2.84582e+14
7.53396e+4	2.83431e+14
7.54729e+4	2.82283e+14
7.56062e+4	2.81140e+14
7.57395e+4	2.80001e+14
7.58729e+4	2.78866e+14
7.60062e+4	2.77735e+14
7.61395e+4	2.76608e+14
7.62729e+4	2.75485e+14
7.64062e+4	2.74366e+14
