"Energy (eV)"	"Flux (ph/s/0.1%B.W.)"
2.64087e+4	1.22688e+15
2.65420e+4	1.22065e+15
2.66753e+4	1.21443e+15
2.68087e+4	1.20822e+15
2.69420e+4	1.20201e+15
2.70753e+4	1.19582e+15
2.72086e+4	1.18963e+15
2.73420e+4	1.18346e+15
2.74753e+4	1.17729e+15
2.76086e+4	1.17113e+15
2.77419e+4	1.16499e+15
2.78753e+4	1.15886e+15
2.80086e+4	1.15273e+15
2.81419e+4	1.14662e+15
2.82753e+4	1.14053e+15
2.84086e+4	1.13444e+15
2.85419e+4	1.12837e+15
2.86752e+4	1.12231e+15
2.88086e+4	1.11627e+15
2.89419e+4	1.11024e+15
2.90752e+4	1.10422e+15
2.92085e+4	1.09822e+15
2.93419e+4	1.09223e+15
2.94752e+4	1.08626e+15
2.96085e+4	1.08031e+15
2.97418e+4	1.07437e+15
2.98752e+4	1.06844e+15
3.00085e+4	1.06253e+15
3.01418e+4	1.05664e+15
3.02752e+4	1.05076e+15
3.04085e+4	1.04490e+15
3.05418e+4	1.03906e+15
3.06751e+4	1.03324e+15
3.08085e+4	1.02743e+15
3.09418e+4	1.02164e+15
3.10751e+4	1.01587e+15
3.12084e+4	1.01012e+15
3.13418e+4	1.00438e+15
3.14751e+4	9.98665e+14
3.16084e+4	9.92967e+14
3.17417e+4	9.87288e+14
3.18751e+4	9.81628e+14
3.20084e+4	9.75988e+14
3.21417e+4	9.70365e+14
3.22751e+4	9.64763e+14
3.24084e+4	9.59181e+14
3.25417e+4	9.53619e+14
3.26750e+4	9.48077e+14
3.28084e+4	9.42555e+14
3.29417e+4	9.37053e+14
3.30750e+4	9.31572e+14
3.32083e+4	9.26111e+14
3.33417e+4	9.20670e+14
3.34750e+4	9.15250e+14
3.36083e+4	9.09851e+14
3.37416e+4	9.04473e+14
3.38750e+4	8.99116e+14
3.40083e+4	8.93779e+14
3.41416e+4	8.88464e+14
3.42750e+4	8.83170e+14
3.44083e+4	8.77897e+14
3.45416e+4	8.72646e+14
3.46749e+4	8.67416e+14
3.48083e+4	8.62207e+14
3.49416e+4	8.57020e+14
3.50749e+4	8.51855e+14
3.52082e+4	8.46711e+14
3.53416e+4	8.41590e+14
3.54749e+4	8.36490e+14
3.56082e+4	8.31411e+14
3.57415e+4	8.26355e+14
3.58749e+4	8.21321e+14
3.60082e+4	8.16309e+14
3.61415e+4	8.11318e+14
3.62749e+4	8.06350e+14
